person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
22,10.985292722887856,123.0,4,10.46310334047155,16.02,1,0.59,1,3,0,0,1,0,0,0,1,0
21,9.169518377455928,5.0,2,6.907755278982137,11.14,0,0.1,0,2,0,1,0,0,1,0,0,0
25,9.169518377455928,1.0,3,8.612503371220562,12.87,1,0.57,0,3,1,0,0,0,0,1,0,0
23,11.089805421623343,4.0,3,10.46310334047155,15.23,1,0.53,0,2,0,0,1,0,0,1,0,0
24,10.904119432844034,8.0,3,10.46310334047155,14.27,1,0.55,1,4,0,0,1,0,0,1,0,0
21,9.20029003612268,2.0,1,7.824046010856292,7.14,1,0.25,0,2,0,1,0,0,0,0,0,1
26,11.25285855955142,8.0,2,10.46310334047155,12.42,1,0.45,0,3,0,0,1,0,1,0,0,0
24,11.276646014262878,5.0,2,10.46310334047155,11.11,1,0.44,0,4,0,0,1,0,0,1,0,0
24,11.326595886778735,8.0,1,10.46310334047155,8.9,1,0.42,0,2,0,0,1,0,0,0,1,0
21,9.210340371976184,6.0,4,7.3777589082278725,14.74,1,0.16,0,3,0,1,0,0,0,0,0,1
22,11.350406535472453,6.0,2,10.46310334047155,10.37,1,0.41,0,4,0,0,1,0,0,0,0,1
21,9.210340371976184,2.0,1,8.411832675758411,8.63,1,0.45,0,2,0,1,0,0,0,0,0,0
23,11.461632170582678,2.0,1,10.46310334047155,7.9,1,0.37,0,2,0,0,1,0,0,0,0,1
26,11.591366891276792,4.0,5,10.46310334047155,18.39,1,0.32,0,4,0,0,1,0,1,0,0,0
23,11.652687407345388,2.0,1,10.46310334047155,7.9,0,0.3,0,4,0,0,1,0,1,0,0,0
23,13.122363377404328,7.0,2,10.308952660644293,10.65,0,0.06,0,3,1,0,0,1,0,0,0,0
23,11.695247021764184,0.0,1,10.46310334047155,7.9,0,0.29,0,4,0,0,1,0,1,0,0,0
23,11.430749650507867,7.0,6,10.46310334047155,20.25,1,0.32,0,4,0,0,1,0,0,1,0,0
23,11.635143097694478,8.0,4,10.46310334047155,18.25,1,0.31,0,4,0,0,1,1,0,0,0,0
24,9.287301413112312,8.0,2,7.4673710669175595,10.99,1,0.16,0,2,1,0,0,0,1,0,0,0
25,11.998433280751929,2.0,1,10.46310334047155,7.49,0,0.22,0,4,0,0,1,0,0,0,0,1
25,11.827736204810263,9.0,5,10.457372665762566,16.77,0,0.25,1,2,0,0,1,0,0,0,1,0
22,11.082142548877775,4.0,4,10.4341158035983,17.58,1,0.52,0,4,0,0,1,0,1,0,0,0
24,9.30383071506352,0.0,1,7.313220387090301,7.29,0,0.14,0,3,0,1,0,0,0,0,1,0
22,11.289781913656018,3.0,4,10.432644132986843,14.54,1,0.42,1,4,0,0,1,0,0,0,1,0
24,11.123520696408578,8.0,3,10.404262840448617,12.68,1,0.49,0,3,0,0,1,0,0,0,0,0
21,9.305650551780507,3.0,5,8.428361977709622,17.74,1,0.42,1,3,1,0,0,0,0,0,0,1
23,9.305650551780507,0.0,1,7.24422751560335,9.32,0,0.13,0,3,0,1,0,0,0,0,1,0
24,11.082142548877775,6.0,2,10.388995368317829,9.99,1,0.5,0,3,0,0,1,0,0,0,0,0
21,9.340403256274351,5.0,3,8.294049640102028,12.84,1,0.35,1,2,0,0,0,0,1,0,0,0
21,9.351839934249883,5.0,2,7.600902459542082,11.12,1,0.17,0,3,0,1,0,0,0,1,0,0
25,11.695247021764184,2.0,1,10.373491181781864,6.62,0,0.27,0,2,0,0,1,0,0,0,0,1
26,11.461632170582678,7.0,3,10.343354087361625,14.17,1,0.33,1,3,0,0,1,0,0,0,0,0
25,12.631340380934517,2.0,3,10.096171896365629,13.85,0,0.08,0,3,0,0,1,1,0,0,0,0
26,12.611537753638338,10.0,3,8.961879012677683,13.49,0,0.03,0,4,1,0,0,0,0,1,0,0
21,9.392661928770137,5.0,1,7.824046010856292,7.51,1,0.21,0,4,0,1,0,0,1,0,0,0
22,10.778956289890028,1.0,5,10.308952660644293,18.39,1,0.63,0,2,0,0,1,0,1,0,0,0
24,11.06663836234181,8.0,4,10.308952660644293,14.54,1,0.47,1,3,0,0,1,1,0,0,0,0
25,11.225243392518447,4.0,4,10.308952660644293,16.89,1,0.4,1,4,0,0,1,0,0,0,0,0
23,11.177452728682098,3.0,4,10.308952660644293,11.011694892245036,1,0.42,0,4,0,0,1,1,0,0,0,0
26,11.035695790632753,6.0,5,10.308952660644293,17.99,1,0.41,0,2,0,0,1,0,0,1,0,0
24,9.392661928770137,4.0,2,7.824046010856292,12.69,1,0.21,0,3,0,1,0,0,0,0,0,1
26,12.611537753638338,10.0,1,9.903487552536127,7.88,0,0.07,0,4,1,0,0,0,0,0,0,1
23,12.611537753638338,1.0,6,10.096171896365629,19.41,0,0.08,1,2,0,1,0,0,1,0,0,0
26,12.611537753638338,9.0,2,9.210340371976184,10.38,0,0.03,0,4,0,1,0,0,0,0,0,0
26,12.611537753638338,0.0,4,10.126631103850338,15.33,0,0.08,0,3,1,0,0,0,1,0,0,0
25,12.611537753638338,9.0,5,9.798127036878302,16.45,0,0.06,0,3,1,0,0,0,0,0,0,0
26,11.298369930842552,8.0,1,10.308952660644293,7.49,1,0.37,0,3,0,0,1,0,0,0,1,0
22,11.101945176173954,4.0,2,10.308952660644293,12.69,1,0.38,0,3,0,0,1,0,0,1,0,0
26,11.396706205977527,0.0,1,10.308952660644293,6.62,1,0.34,0,3,0,0,1,1,0,0,0,0
24,11.26446410567173,4.0,4,10.308952660644293,11.011694892245036,1,0.38,1,4,0,0,1,1,0,0,0,0
23,11.26446410567173,7.0,6,10.308952660644293,18.62,1,0.38,1,3,0,0,1,1,0,0,0,0
23,11.429587333346895,6.0,3,10.308952660644293,15.23,1,0.33,1,3,0,0,1,0,0,0,1,0
23,11.48246625748552,7.0,2,10.308952660644293,10.65,1,0.31,0,2,0,0,1,0,0,0,0,1
25,11.695247021764184,9.0,1,10.308952660644293,7.9,0,0.25,0,4,0,0,1,0,1,0,0,0
26,12.542544882151386,4.0,3,9.210340371976184,15.96,0,0.04,1,3,0,0,1,0,0,0,1,0
26,12.532148165968824,0.0,2,9.903487552536127,11.48,0,0.07,0,3,0,0,1,0,0,0,0,1
23,12.531772785169476,3.0,1,10.46310334047155,11.011694892245036,0,0.13,0,4,0,1,0,0,0,0,1,0
25,11.759785542901755,9.0,1,10.308952660644293,7.29,0,0.23,0,4,0,0,1,0,0,0,1,0
24,9.392661928770137,2.0,5,7.4673710669175595,11.011694892245036,0,0.15,1,3,0,1,0,0,0,0,0,1
21,11.782952602183288,0.0,1,10.308952660644293,5.99,0,0.23,0,4,0,0,1,0,0,0,0,1
22,12.524526376648708,6.0,2,9.392661928770137,11.58,0,0.04,0,2,0,1,0,0,0,0,0,1
26,12.479909311159902,0.0,2,9.210340371976184,11.011694892245036,1,0.04,0,4,1,0,0,0,1,0,0,0
25,12.309756756807056,9.0,4,10.126631103850338,15.7,1,0.1,0,2,1,0,0,0,0,1,0,0
22,11.156250521031495,6.0,4,10.278493453159584,15.99,1,0.42,0,3,0,0,1,0,1,0,0,0
22,9.392661928770137,7.0,4,7.313220387090301,14.84,0,0.13,1,3,1,0,0,0,1,0,0,0
26,12.468436909997665,10.0,2,10.239959789157341,10.99,0,0.11,0,3,0,1,0,0,0,0,0,0
25,12.464583340681674,9.0,4,9.903487552536127,14.42,0,0.08,1,2,1,0,0,0,0,0,0,0
24,12.449018824140563,9.0,1,9.169518377455928,6.99,0,0.04,0,2,1,0,0,0,1,0,0,0
25,12.429216196844383,2.0,3,10.126631103850338,13.49,0,0.1,0,4,0,0,1,0,0,1,0,0
25,9.392661928770137,0.0,3,8.006367567650246,11.011694892245036,1,0.25,0,3,0,1,0,0,0,1,0,0
22,10.949928968875328,6.0,1,10.239959789157341,11.011694892245036,1,0.49,0,2,0,0,1,0,0,1,0,0
21,9.392661928770137,6.0,3,8.006367567650246,13.61,1,0.25,1,3,0,1,0,0,1,0,0,0
23,11.082142548877775,2.0,1,10.239959789157341,7.9,1,0.43,0,2,0,0,1,0,1,0,0,0
26,11.350406535472453,2.0,1,10.239959789157341,7.49,1,0.33,0,3,0,0,1,0,0,0,0,1
26,9.392661928770137,2.0,1,8.716044050161402,7.51,1,0.51,0,3,0,1,0,0,1,0,0,0
22,11.385092093460344,6.0,2,10.239959789157341,9.91,1,0.32,0,3,0,0,1,0,0,0,0,1
21,9.392661928770137,0.0,3,8.34283980427146,13.48,1,0.35,1,4,0,1,0,0,0,0,1,0
22,9.392661928770137,6.0,1,8.465899897028686,7.14,1,0.4,0,2,0,1,0,1,0,0,0,0
24,11.326644078388584,0.0,4,10.239959789157341,15.99,1,0.34,1,4,0,0,1,0,0,0,0,1
24,12.429216196844383,2.0,3,9.798127036878302,12.98,0,0.07,1,3,0,0,1,0,1,0,0,0
144,12.429216196844383,4.0,3,8.476371196895983,13.57,0,0.02,0,3,0,0,1,0,0,0,0,1
25,11.512925464970229,5.0,2,10.239959789157341,12.69,0,0.28,0,3,0,0,1,1,0,0,0,0
26,11.608235644774552,10.0,1,10.239959789157341,8.9,0,0.25,0,2,0,0,1,0,1,0,0,0
26,9.392661928770137,0.0,1,7.90100705199242,11.011694892245036,1,0.23,0,4,0,1,0,1,0,0,0,0
22,11.589886506106357,6.0,2,10.239959789157341,11.011694892245036,1,0.26,0,4,0,0,1,0,1,0,0,0
23,11.926358742727569,7.0,2,10.239959789157341,11.11,0,0.19,0,2,0,0,1,1,0,0,0,0
24,11.141861783579396,2.0,1,10.225571051705241,11.011694892245036,1,0.4,0,2,0,0,1,0,0,0,0,0
21,9.392661928770137,5.0,5,8.086410275323782,15.68,1,0.27,1,3,1,0,0,1,0,0,0,0
22,11.156250521031495,4.0,3,10.221941283654663,13.06,1,0.39,1,3,0,0,1,0,1,0,0,0
22,12.388394202324129,6.0,2,10.126631103850338,11.011694892245036,0,0.1,0,2,0,1,0,0,0,0,1,0
26,11.200950699949402,5.0,4,10.205442284274628,15.62,1,0.37,1,2,0,0,1,0,0,0,0,1
24,11.326595886778735,5.0,3,10.203592144986466,13.49,1,0.33,1,2,0,0,1,0,0,0,1,0
24,11.203665590531598,0.0,4,10.203592144986466,11.011694892245036,1,0.37,0,3,0,0,1,0,0,0,0,1
23,11.042921835724492,7.0,2,10.165851817003619,11.71,1,0.42,0,2,0,0,1,0,0,1,0,0
23,11.695247021764184,1.0,2,10.150347630467653,12.69,0,0.21,0,3,0,0,1,0,1,0,0,0
24,9.422220731011683,2.0,3,7.3777589082278725,13.57,0,0.13,0,3,0,1,0,0,0,1,0,0
22,11.002099841204238,0.0,2,10.145452858090925,10.99,1,0.42,0,3,0,0,1,0,0,0,0,1
25,12.363076394339839,3.0,3,9.903487552536127,14.27,0,0.09,1,4,1,0,0,0,0,1,0,0
24,12.363076394339839,8.0,2,9.903487552536127,8.88,0,0.09,0,4,0,1,0,0,0,0,0,0
26,12.363076394339839,10.0,2,9.980448593672257,12.18,0,0.09,0,3,1,0,0,0,0,0,0,0
25,12.305936079883606,6.0,4,9.38429367909962,14.42,1,0.05,1,3,1,0,0,1,0,0,0,0
26,12.356645504009547,0.0,3,10.126631103850338,14.17,0,0.11,1,2,1,0,0,0,0,1,0,0
25,12.345834587905333,5.0,3,10.46310334047155,13.99,0,0.15,0,4,1,0,0,0,0,1,0,0
23,11.326595886778735,7.0,2,10.138559674715612,10.99,1,0.3,0,3,0,0,1,0,1,0,0,0
22,9.441452092939569,4.789686296787225,1,7.600902459542082,5.42,1,0.16,0,4,1,0,0,0,0,0,1,0
25,9.441452092939569,3.0,3,7.4673710669175595,13.61,0,0.14,0,3,0,1,0,0,0,0,1,0
21,10.657259354912508,3.0,3,10.126631103850338,12.73,1,0.59,1,3,0,0,1,0,1,0,0,0
24,10.621327345686446,2.0,4,10.126631103850338,11.011694892245036,1,0.61,0,3,0,0,1,0,0,0,0,0
25,9.458449669308141,0.0,3,8.006367567650246,12.87,1,0.23,1,4,0,1,0,1,0,0,0,0
24,9.469622969906265,1.0,2,8.202482446576537,9.91,1,0.28,0,3,1,0,0,0,0,0,0,0
26,12.328290278254423,4.0,2,9.903487552536127,11.49,0,0.09,0,4,1,0,0,0,0,0,0,0
25,12.323855681186558,0.0,5,10.308952660644293,19.91,0,0.13,1,2,1,0,0,0,0,0,0,0
26,12.269047444691562,6.0,2,10.46310334047155,10.65,1,0.16,0,2,1,0,0,0,1,0,0,0
24,12.323855681186558,0.0,2,8.699514748210191,11.011694892245036,0,0.03,0,4,0,0,1,0,0,1,0,0
24,9.469622969906265,0.0,2,8.411832675758411,11.83,1,0.35,0,4,1,0,0,1,0,0,0,0
23,9.472396896788991,0.0,3,7.783224016336037,13.49,1,0.18,1,2,0,1,0,1,0,0,0,0
22,10.645424897265505,6.0,4,10.126631103850338,14.59,1,0.6,1,2,0,0,1,0,0,1,0,0
26,10.778956289890028,2.0,2,10.126631103850338,9.64,1,0.52,0,4,0,0,1,0,1,0,0,0
25,9.472396896788991,1.0,4,8.1886891244442,14.59,1,0.28,0,3,0,1,0,0,0,1,0,0
22,9.472396896788991,1.0,2,8.465899897028686,11.011694892245036,1,0.37,0,3,0,1,0,0,1,0,0,0
25,10.653959799715343,1.0,5,10.126631103850338,16.35,1,0.59,1,3,0,0,1,0,1,0,0,0
21,10.799575577092764,4.0,2,10.126631103850338,10.99,1,0.51,0,2,0,0,1,0,1,0,0,0
25,12.323855681186558,0.0,6,10.126631103850338,18.67,0,0.11,0,2,1,0,0,0,0,0,0,1
26,12.323855681186558,1.0,1,8.006367567650246,9.32,0,0.01,0,4,0,0,1,0,1,0,0,0
23,12.323855681186558,8.0,1,8.922658299524402,8.63,0,0.03,0,2,0,0,1,1,0,0,0,0
26,12.323855681186558,2.0,2,10.126631103850338,10.08,0,0.11,0,2,1,0,0,0,0,0,0,1
22,10.809000411238404,5.0,2,10.126631103850338,11.83,1,0.51,0,3,0,0,1,0,0,0,1,0
23,10.819778284410283,1.0,1,10.126631103850338,7.9,1,0.5,0,3,0,0,1,1,0,0,0,0
25,10.819778284410283,4.0,1,10.126631103850338,5.99,1,0.5,0,2,0,0,1,0,0,0,0,0
24,10.691944912900398,2.0,4,10.126631103850338,15.33,1,0.57,0,2,0,0,1,1,0,0,0,0
23,10.819778284410283,1.0,2,10.126631103850338,11.83,1,0.5,0,4,0,0,1,0,0,0,0,1
22,10.819858281210454,0.0,2,10.126631103850338,10.36,1,0.5,0,2,0,0,1,0,0,0,0,1
22,10.819858281210454,3.0,3,10.126631103850338,12.23,1,0.5,0,3,0,0,1,0,0,0,0,1
22,10.858998997563564,2.0,2,10.126631103850338,11.11,1,0.48,0,4,0,0,1,0,1,0,0,0
23,9.487972108574462,3.0,1,8.507142855562735,7.9,1,0.38,0,4,0,1,0,1,0,0,0,0
24,12.301382825334498,1.0,2,10.126631103850338,11.58,0,0.11,0,2,1,0,0,0,1,0,0,0
23,12.283033686666302,5.0,1,9.95227771670556,8.9,0,0.1,0,3,1,0,0,1,0,0,0,0
25,12.283033686666302,2.0,4,10.126631103850338,16.07,0,0.12,0,3,1,0,0,0,1,0,0,0
26,12.283033686666302,10.0,3,9.903487552536127,14.22,0,0.09,1,2,1,0,0,0,1,0,0,0
23,12.2783933071098,7.0,3,10.46310334047155,14.79,0,0.16,1,3,1,0,0,0,0,1,0,0
26,12.2783933071098,11.0,1,9.392661928770137,7.88,0,0.06,0,2,1,0,0,0,1,0,0,0
23,10.858998997563564,1.0,3,10.126631103850338,13.22,1,0.48,0,2,0,0,1,0,0,0,1,0
26,10.736396675471232,2.0,4,10.126631103850338,11.86,1,0.54,0,4,0,0,1,1,0,0,0,0
22,10.87804719253426,5.0,3,10.126631103850338,13.43,1,0.47,1,4,0,0,1,0,1,0,0,0
26,10.757902880692196,0.0,4,10.126631103850338,15.28,1,0.53,1,2,0,0,1,0,0,0,0,0
23,10.757902880692196,1.0,5,10.126631103850338,17.93,1,0.53,0,2,0,0,1,0,0,0,0,1
23,9.487972108574462,2.0,2,7.24422751560335,9.25,0,0.11,0,4,1,0,0,0,1,0,0,0
21,9.487972108574462,0.0,3,8.411832675758411,12.98,1,0.34,0,4,0,1,0,0,0,0,0,1
22,12.254862809699606,6.0,2,9.680344001221918,10.62,0,0.08,0,4,1,0,0,0,0,0,0,1
26,12.254862809699606,10.0,2,9.998797732340453,11.83,0,0.1,0,4,0,1,0,0,0,0,1,0
26,10.778956289890028,5.0,6,10.126631103850338,18.43,1,0.52,0,2,0,0,1,0,0,0,0,1
22,10.915015734297125,6.0,2,10.126631103850338,11.011694892245036,1,0.45,0,4,0,0,1,0,1,0,0,0
24,10.915088464214607,4.0,4,10.126631103850338,11.011694892245036,1,0.45,1,4,0,0,1,0,0,0,0,0
23,10.915088464214607,4.0,2,10.126631103850338,11.36,1,0.45,0,3,0,0,1,0,1,0,0,0
23,10.915088464214607,4.0,4,10.126631103850338,15.65,1,0.45,1,3,0,0,1,0,1,0,0,0
24,10.918065845594228,8.0,3,10.126631103850338,13.22,1,0.45,1,4,0,0,1,0,0,0,1,0
26,10.933106969717286,4.0,3,10.126631103850338,12.87,1,0.45,0,2,0,0,1,1,0,0,0,0
24,12.223421283864786,8.0,3,9.903487552536127,13.04,0,0.1,0,3,0,1,0,0,0,1,0,0
23,12.154779351142624,5.0,6,9.998797732340453,17.58,1,0.12,1,3,1,0,0,0,1,0,0,0
23,9.54108193388841,2.0,5,8.955448122347393,17.04,1,0.56,0,4,0,1,0,0,0,0,1,0
24,11.002099841204238,0.0,2,10.126631103850338,10.99,1,0.42,0,3,0,0,1,0,0,0,1,0
24,11.002099841204238,2.0,2,10.126631103850338,11.11,1,0.42,0,3,0,0,1,0,0,0,1,0
26,10.896739325546411,7.0,4,10.126631103850338,14.83,1,0.46,1,2,0,0,1,1,0,0,0,0
23,9.546812608597396,2.0,4,8.294049640102028,11.011694892245036,1,0.29,0,3,0,1,0,1,0,0,0,0
24,12.206072645530174,8.0,2,9.392661928770137,12.69,0,0.06,0,2,0,0,1,0,0,1,0,0
24,12.206072645530174,8.0,3,9.392661928770137,13.49,0,0.06,0,2,1,0,0,0,0,0,0,0
21,12.206072645530174,5.0,3,9.680344001221918,14.65,0,0.08,0,4,1,0,0,0,1,0,0,0
25,10.896739325546411,3.0,5,10.126631103850338,16.82,1,0.46,0,4,0,0,1,0,0,0,0,0
23,11.002099841204238,3.0,3,10.126631103850338,12.73,1,0.42,0,3,0,0,1,0,0,0,1,0
23,11.002099841204238,7.0,2,10.126631103850338,10.25,1,0.42,0,4,0,0,1,0,0,0,1,0
